Manhattan,Battery Park
Manhattan,Central Park
Manhattan,Bryant Park
Manhattan,Riverside Park
Queens,Flushing Meadows Park
Brooklyn,Prospect Park
Brooklyn,Brooklyn Bridge Park
Staten Island,Fort Wadsworth
Bronx,Van Cortland Park
Bronx,New York Botanical Garden
